Date,Price,max,% Change,15% drop,10% drop,5% drop,2% drop,,,,,,,
02-01-2009,30.94499969,30.94499969,0.00%,0,0,0,0,,Auto-Buy (GTD) model,,,,,
02-01-2009,30.29999924,30.94499969,-2.08%,0,0,0,83,,,2% drop,5% drop,10% drop,15% drop,
05-01-2009,31.37000084,31.37000084,0.00%,0,0,0,0,,XIRR,12.96%,13.07%,13.39%,13.77%,
05-01-2009,30.70000076,31.37000084,-2.14%,0,0,0,81,,,,,,,
06-01-2009,31.47999954,31.47999954,0.00%,0,0,0,0,,Monthly Once,,,,,
06-01-2009,30.60300064,31.47999954,-2.79%,0,0,0,82,,,SIP,2% drop,5% drop,5% in 2M,5% in 3M
07-01-2009,31.5,31.5,0.00%,0,0,0,0,,XIRR,12.70%,13.01%,13.52%,13.20%,13.33%
07-01-2009,28.89999962,31.5,-8.25%,0,0,173,87,,,,,,,
09-01-2009,29.5,31.5,-6.35%,0,0,169,85,,,,,,,
09-01-2009,28.03000069,31.5,-11.02%,0,357,178,89,,,,,,,
12-01-2009,28.75,31.5,-8.73%,0,0,174,87,,,,,,,
12-01-2009,27.55999947,31.5,-12.51%,0,363,181,91,,,,,,,
13-01-2009,28.19000053,31.5,-10.51%,0,355,177,89,,,,,,,
13-01-2009,27.51099968,31.5,-12.66%,0,363,182,91,,,,,,,
14-01-2009,28.79999924,31.5,-8.57%,0,0,174,87,,,,,,,
14-01-2009,27.79999924,31.5,-11.75%,0,360,180,90,,,,,,,
15-01-2009,28.06500053,31.5,-10.90%,0,356,178,89,,,,,,,
15-01-2009,27.29999924,31.5,-13.33%,0,366,183,92,,,,,,,
16-01-2009,28.69000053,31.5,-8.92%,0,0,174,87,,,,,,,
16-01-2009,27.71999931,31.5,-12.00%,0,361,180,90,,,,,,,
19-01-2009,28.70999908,31.5,-8.86%,0,0,174,87,,,,,,,
19-01-2009,28.06500053,31.5,-10.90%,0,356,178,89,,,,,,,
20-01-2009,28.54999924,31.5,-9.37%,0,0,175,88,,,,,,,
20-01-2009,27.78000069,31.5,-11.81%,0,360,180,90,,,,,,,
21-01-2009,28.20000076,31.5,-10.48%,0,355,177,89,,,,,,,
21-01-2009,27.30999947,31.5,-13.30%,0,366,183,92,,,,,,,
22-01-2009,27.89999962,31.5,-11.43%,0,358,179,90,,,,,,,
22-01-2009,27.20000076,31.5,-13.65%,0,368,184,92,,,,,,,
23-01-2009,27.60000038,31.5,-12.38%,0,362,181,91,,,,,,,
23-01-2009,27.04000092,31.5,-14.16%,0,370,185,92,,,,,,,
27-01-2009,27.85000038,31.5,-11.59%,0,359,180,90,,,,,,,
27-01-2009,27.25,31.5,-13.49%,0,367,183,92,,,,,,,
28-01-2009,28.5890007,31.5,-9.24%,0,0,175,87,,,,,,,
28-01-2009,27.86499977,31.5,-11.54%,0,359,179,90,,,,,,,
29-01-2009,28.79999924,31.5,-8.57%,0,0,174,87,,,,,,,
29-01-2009,28.04999924,31.5,-10.95%,0,357,178,89,,,,,,,
30-01-2009,29.10099983,31.5,-7.62%,0,0,172,86,,,,,,,
30-01-2009,27.90099907,31.5,-11.43%,0,358,179,90,,,,,,,
02-02-2009,28.85000038,31.5,-8.41%,0,0,173,87,,,,,,,
02-02-2009,28.04999924,31.5,-10.95%,0,357,178,89,,,,,,,
03-02-2009,28.59900093,31.5,-9.21%,0,0,175,87,,,,,,,
03-02-2009,28,31.5,-11.11%,0,357,179,89,,,,,,,
04-02-2009,28.68899918,31.5,-8.92%,0,0,174,87,,,,,,,
04-02-2009,27.94099998,31.5,-11.30%,0,358,179,89,,,,,,,
05-02-2009,28.5,31.5,-9.52%,0,0,175,88,,,,,,,
05-02-2009,27.81999969,31.5,-11.68%,0,359,180,90,,,,,,,
06-02-2009,28.78000069,31.5,-8.63%,0,0,174,87,,,,,,,
06-02-2009,28.20000076,31.5,-10.48%,0,355,177,89,,,,,,,
09-02-2009,29.39999962,31.5,-6.67%,0,0,170,85,,,,,,,
09-02-2009,28.62599945,31.5,-9.12%,0,0,175,87,,,,,,,
10-02-2009,29.70000076,31.5,-5.71%,0,0,168,84,,,,,,,
10-02-2009,29,31.5,-7.94%,0,0,172,86,,,,,,,
11-02-2009,29.60000038,31.5,-6.03%,0,0,169,84,,,,,,,
11-02-2009,29,31.5,-7.94%,0,0,172,86,,,,,,,
12-02-2009,29.45000076,31.5,-6.51%,0,0,170,85,,,,,,,
12-02-2009,29,31.5,-7.94%,0,0,172,86,,,,,,,
13-02-2009,29.89999962,31.5,-5.08%,0,0,167,84,,,,,,,
13-02-2009,29.31500053,31.5,-6.94%,0,0,171,85,,,,,,,
16-02-2009,29.81500053,31.5,-5.35%,0,0,168,84,,,,,,,
16-02-2009,28.39999962,31.5,-9.84%,0,0,176,88,,,,,,,
17-02-2009,28.34000015,31.5,-10.03%,0,353,176,88,,,,,,,
17-02-2009,27.71100044,31.5,-12.03%,0,361,180,90,,,,,,,
18-02-2009,28.47999954,31.5,-9.59%,0,0,176,88,,,,,,,
18-02-2009,27.70999908,31.5,-12.03%,0,361,180,90,,,,,,,
19-02-2009,28.37999916,31.5,-9.90%,0,0,176,88,,,,,,,
19-02-2009,28.00099945,31.5,-11.11%,0,357,179,89,,,,,,,
20-02-2009,27.9489994,31.5,-11.27%,0,358,179,89,,,,,,,
20-02-2009,27.29500008,31.5,-13.35%,0,366,183,92,,,,,,,
24-02-2009,27.59000015,31.5,-12.41%,0,362,181,91,,,,,,,
24-02-2009,27.02099991,31.5,-14.22%,0,370,185,93,,,,,,,
25-02-2009,28.20000076,31.5,-10.48%,0,355,177,89,,,,,,,
25-02-2009,27.68000031,31.5,-12.13%,0,361,181,90,,,,,,,
26-02-2009,28.19000053,31.5,-10.51%,0,355,177,89,,,,,,,
26-02-2009,27.60499954,31.5,-12.37%,0,362,181,91,,,,,,,
27-02-2009,28.20000076,31.5,-10.48%,0,355,177,89,,,,,,,
27-02-2009,27.30999947,31.5,-13.30%,0,366,183,92,,,,,,,
02-03-2009,27.45400047,31.5,-12.84%,0,364,182,91,,,,,,,
02-03-2009,26.80999947,31.5,-14.89%,0,373,186,93,,,,,,,
03-03-2009,27.35000038,31.5,-13.17%,0,366,183,91,,,,,,,
03-03-2009,26.60000038,31.5,-15.56%,752,376,188,94,,,,,,,
04-03-2009,27.07500076,31.5,-14.05%,0,369,185,92,,,,,,,
04-03-2009,26.625,31.5,-15.48%,751,376,188,94,,,,,,,
05-03-2009,27.37000084,31.5,-13.11%,0,365,183,91,,,,,,,
05-03-2009,25.85499954,31.5,-17.92%,774,387,193,97,,,,,,,
06-03-2009,26.70000076,31.5,-15.24%,749,375,187,94,,,,,,,
06-03-2009,25.69000053,31.5,-18.44%,779,389,195,97,,,,,,,
09-03-2009,26.5,31.5,-15.87%,755,377,189,94,,,,,,,
09-03-2009,26.02499962,31.5,-17.38%,768,384,192,96,,,,,,,
12-03-2009,26.98999977,31.5,-14.32%,0,371,185,93,,,,,,,
12-03-2009,26.43000031,31.5,-16.10%,757,378,189,95,,,,,,,
13-03-2009,27.49699974,31.5,-12.71%,0,364,182,91,,,,,,,
13-03-2009,26.97999954,31.5,-14.35%,0,371,185,93,,,,,,,
16-03-2009,28.09000015,31.5,-10.83%,0,356,178,89,,,,,,,
16-03-2009,27.39999962,31.5,-13.02%,0,365,182,91,,,,,,,
17-03-2009,28.28000069,31.5,-10.22%,0,354,177,88,,,,,,,
