Date,Price,Max Price,,15% drop,10% drop,5% drop,2% drop
17-04-2020,34.13997269,0,0,0,0,0,0
17-04-2020,32.07683915,34.13997269,-5000,0,0,156,0
20-04-2020,36.35047647,0,0,0,0,0,0
20-04-2020,29.52248082,36.35047647,-20000,677,0,0,0
21-04-2020,34.4838286,36.35047647,-5000,0,0,145,0
21-04-2020,31.58561795,36.35047647,-10000,0,317,0,0
22-04-2020,34.33646318,36.35047647,-5000,0,0,146,0
22-04-2020,31.9294715,36.35047647,-10000,0,313,0,0
23-04-2020,34.28734207,36.35047647,-5000,0,0,146,0
23-04-2020,32.96103868,36.35047647,-5000,0,0,152,0
24-04-2020,33.79611839,36.35047647,-5000,0,0,148,0
24-04-2020,30.50492453,36.35047647,-20000,656,0,0,0
27-04-2020,32.91191655,36.35047647,-5000,0,0,152,0
27-04-2020,30.01370226,36.35047647,-20000,666,0,0,0
28-04-2020,32.12595998,36.35047647,-10000,0,311,0,0
28-04-2020,30.70141364,36.35047647,-20000,651,0,0,0
29-04-2020,31.63473833,36.35047647,-10000,0,316,0,0
29-04-2020,30.45580326,36.35047647,-20000,657,0,0,0
30-04-2020,31.92947334,36.35047647,-10000,0,313,0,0
30-04-2020,30.75053819,36.35047647,-20000,650,0,0,0
04-05-2020,31.43824887,36.35047647,-10000,0,318,0,0
04-05-2020,29.96458095,36.35047647,-20000,667,0,0,0
05-05-2020,31.9294703,36.35047647,-10000,0,313,0,0
05-05-2020,30.50492395,36.35047647,-20000,656,0,0,0
06-05-2020,31.78210264,36.35047647,-10000,0,315,0,0
06-05-2020,29.7189691,36.35047647,-20000,673,0,0,0
07-05-2020,31.9294703,36.35047647,-10000,0,313,0,0
07-05-2020,31.34000278,36.35047647,-10000,0,319,0,0
08-05-2020,32.1259601,36.35047647,-10000,0,311,0,0
08-05-2020,31.14351486,36.35047647,-10000,0,321,0,0
11-05-2020,31.92947251,36.35047647,-10000,0,313,0,0
11-05-2020,30.65229436,36.35047647,-20000,652,0,0,0
12-05-2020,31.34000397,36.35047647,-10000,0,319,0,0
12-05-2020,29.96458095,36.35047647,-20000,667,0,0,0
13-05-2020,31.92947116,36.35047647,-10000,0,313,0,0
13-05-2020,30.21019194,36.35047647,-20000,662,0,0,0
14-05-2020,31.24175837,36.35047647,-10000,0,320,0,0
14-05-2020,30.25931312,36.35047647,-20000,661,0,0,0
15-05-2020,30.75053719,36.35047647,-20000,650,0,0,0
15-05-2020,29.9645817,36.35047647,-20000,667,0,0,0
18-05-2020,30.55404901,36.35047647,-20000,655,0,0,0
18-05-2020,29.96458146,36.35047647,-20000,667,0,0,0
19-05-2020,29.96458019,36.35047647,-20000,667,0,0,0
19-05-2020,29.47335757,36.35047647,-20000,679,0,0,0
20-05-2020,30.40668259,36.35047647,-20000,658,0,0,0
20-05-2020,29.47335881,36.35047647,-20000,679,0,0,0
21-05-2020,32.81367479,36.35047647,-5000,0,0,152,0
21-05-2020,28.54003545,36.35047647,-20000,701,0,0,0
22-05-2020,30.89790403,36.35047647,-20000,647,0,0,0
22-05-2020,30.45580292,36.35047647,-20000,657,0,0,0
26-05-2020,31.68385949,36.35047647,-10000,0,316,0,0
26-05-2020,30.45580292,36.35047647,-20000,657,0,0,0
27-05-2020,31.38912679,36.35047647,-10000,0,319,0,0
27-05-2020,30.21019173,36.35047647,-20000,662,0,0,0
28-05-2020,30.60317066,36.35047647,-20000,654,0,0,0
28-05-2020,29.96458159,36.35047647,-20000,667,0,0,0
29-05-2020,30.84877968,36.35047647,-20000,648,0,0,0
29-05-2020,30.11194576,36.35047647,-20000,664,0,0,0
01-06-2020,31.43824817,36.35047647,-10000,0,318,0,0
01-06-2020,29.52247918,36.35047647,-20000,677,0,0,0
02-06-2020,31.97859389,36.35047647,-10000,0,313,0,0
02-06-2020,30.45580442,36.35047647,-20000,657,0,0,0
03-06-2020,32.81367238,36.35047647,-5000,0,0,152,0
03-06-2020,30.45580232,36.35047647,-20000,657,0,0,0
04-06-2020,31.68385887,36.35047647,-10000,0,316,0,0
04-06-2020,31.48736907,36.35047647,-10000,0,318,0,0
05-06-2020,34.38558635,36.35047647,-5000,0,0,145,0
05-06-2020,31.73298322,36.35047647,-10000,0,315,0,0
08-06-2020,36.25223337,36.35047647,0,0,0,0,0
08-06-2020,33.10840763,36.35047647,-5000,0,0,151,0
09-06-2020,37.33291921,0,0,0,0,0,0
09-06-2020,34.434705,37.33291921,-5000,0,0,145,0
10-06-2020,40.18201252,0,0,0,0,0,0
10-06-2020,37.13642997,40.18201252,-5000,0,0,135,0
11-06-2020,40.57498766,0,0,0,0,0,0
