Date,Price,Max Price,15% drop,10% drop,5% drop,2% drop
2020-04-17,30.21950149536133,0,0,0,0,0
2020-04-17,30.15567849153296,30.21950149536133,0,0,0,0
2020-04-20,31.72728538513184,0,0,0,0,0
2020-04-20,31.71930598792308,31.72728538513184,0,0,0,0
2020-04-21,32.22988380030974,0,0,0,0,0
2020-04-21,30.14770525542816,32.22988380030974,0,0,166,0
2020-04-22,30.27534451629705,32.22988380030974,0,0,165,0
2020-04-22,28.64789446914275,32.22988380030974,0,349,0,0
2020-04-23,30.45085144042969,32.22988380030974,0,0,164,0
2020-04-23,29.00689101579649,32.22988380030974,0,345,0,0
2020-04-24,31.91077323791636,32.22988380030974,0,0,0,0
2020-04-24,28.9590261047594,32.22988380030974,0,345,0,0
2020-04-27,30.7779422487296,32.22988380030974,0,0,0,81
2020-04-27,28.24103553285537,32.22988380030974,0,354,0,0
2020-04-28,30.32321156581072,32.22988380030974,0,0,165,0
2020-04-28,29.03880547239489,32.22988380030974,0,0,172,0
2020-04-29,30.90558603847841,32.22988380030974,0,0,0,81
2020-04-29,28.97498262396368,32.22988380030974,0,345,0,0
2020-04-30,30.8736727867866,32.22988380030974,0,0,0,81
2020-04-30,29.67701882639369,32.22988380030974,0,0,168,0
2020-05-04,29.98017377553188,32.22988380030974,0,0,167,0
2020-05-04,28.75958459485084,32.22988380030974,0,348,0,0
2020-05-05,29.83657237149514,32.22988380030974,0,0,168,0
2020-05-05,27.64270684545133,32.22988380030974,0,362,0,0
2020-05-06,28.71171919181346,32.22988380030974,0,348,0,0
2020-05-06,27.45124220431348,32.22988380030974,0,364,0,0
2020-05-07,29.03880439187682,32.22988380030974,0,0,172,0
2020-05-07,26.96460233917223,32.22988380030974,742,0,0,0
2020-05-08,29.22229307587049,32.22988380030974,0,0,171,0
2020-05-08,28.00170386197999,32.22988380030974,0,357,0,0
2020-05-11,29.16644698838637,32.22988380030974,0,0,171,0
2020-05-11,27.44326540528905,32.22988380030974,0,364,0,0
2020-05-12,28.00170298961308,32.22988380030974,0,357,0,0
2020-05-12,26.97258284017666,32.22988380030974,741,0,0,0
2020-05-13,29.13453704998883,32.22988380030974,0,0,172,0
2020-05-13,27.48315473765643,32.22988380030974,0,364,0,0
2020-05-14,28.07350145610719,32.22988380030974,0,356,0,0
2020-05-14,27.27573213096719,32.22988380030974,733,0,0,0
2020-05-15,28.48036465135631,32.22988380030974,0,351,0,0
2020-05-15,27.14808833633718,32.22988380030974,737,0,0,0
2020-05-18,28.95902601759077,32.22988380030974,0,345,0,0
2020-05-18,26.37425509731903,32.22988380030974,758,0,0,0
2020-05-19,27.11618106799907,32.22988380030974,738,0,0,0
2020-05-19,25.68817322626739,32.22988380030974,779,0,0,0
2020-05-20,27.2677550101679,32.22988380030974,733,0,0,0
2020-05-20,25.68817215598726,32.22988380030974,779,0,0,0
2020-05-21,26.8928041240179,32.22988380030974,744,0,0,0
2020-05-21,26.00727965642826,32.22988380030974,769,0,0,0
2020-05-22,26.80504954017956,32.22988380030974,746,0,0,0
2020-05-22,25.85570508808835,32.22988380030974,774,0,0,0
2020-05-26,27.28371072583016,32.22988380030974,733,0,0,0
2020-05-26,25.84772659147034,32.22988380030974,774,0,0,0
2020-05-27,27.34753200581538,32.22988380030974,731,0,0,0
2020-05-27,25.96739141258038,32.22988380030974,770,0,0,0
2020-05-28,27.92192396511282,32.22988380030974,0,358,0,0
2020-05-28,26.02323228337565,32.22988380030974,769,0,0,0
2020-05-29,28.39261070624725,32.22988380030974,0,352,0,0
2020-05-29,27.54697411701136,32.22988380030974,0,363,0,0
2020-06-01,29.50151062011718,32.22988380030974,0,0,169,0
2020-06-01,29.50151062011718,32.22988380030974,0,0,169,0
2020-06-02,30.96940422058105,32.22988380030974,0,0,0,81
2020-06-02,30.32320998704478,32.22988380030974,0,0,165,0
2020-06-03,32.5170783996582,0,0,0,0,0
2020-06-03,32.38943542133442,32.5170783996582,0,0,0,0
