Date,Price,Max Price,15% drop,10% drop,5% drop,2% drop
2020-04-17,29.52210417401545,0,0,0,0,0
2020-04-17,28.16098898999472,29.52210417401545,0,0,0,89
2020-04-20,29.66291110027302,0,0,0,0,0
2020-04-20,28.1609912109375,29.66291110027302,0,0,178,0
2020-04-21,29.00581976390776,29.66291110027302,0,0,0,86
2020-04-21,28.3487310619379,29.66291110027302,0,0,0,88
2020-04-22,31.21176075003396,0,0,0,0,0
2020-04-22,29.00581639908895,31.21176075003396,0,0,172,0
2020-04-23,31.58724576159637,0,0,0,0,0
2020-04-23,30.41387115798366,31.58724576159637,0,0,0,82
2020-04-24,30.977089689399,31.58724576159637,0,0,0,0
2020-04-24,29.09969031428391,31.58724576159637,0,0,172,0
2020-04-27,30.03839000184145,31.58724576159637,0,0,0,83
2020-04-27,29.33436523617329,31.58724576159637,0,0,170,0
2020-04-28,30.41386963352364,31.58724576159637,0,0,0,82
2020-04-28,29.38129788558785,31.58724576159637,0,0,170,0
2020-04-29,30.78934509130105,31.58724576159637,0,0,0,81
2020-04-29,29.28742721596136,31.58724576159637,0,0,171,0
2020-04-30,31.8688527187729,0,0,0,0,0
2020-04-30,29.56903794055848,31.8688527187729,0,0,169,0
2020-05-04,29.33436385856187,31.8688527187729,0,0,170,0
2020-05-04,28.1609893042194,31.8688527187729,0,355,0,0
2020-05-05,29.09968758967563,31.8688527187729,0,0,172,0
2020-05-05,27.6916381901752,31.8688527187729,0,361,0,0
2020-05-06,28.44259762920246,31.8688527187729,0,352,0,0
2020-05-06,27.26922311000389,31.8688527187729,0,367,0,0
2020-05-07,28.11405449409198,31.8688527187729,0,356,0,0
2020-05-07,27.41002977511232,31.8688527187729,0,365,0,0
2020-05-08,28.81808054711283,31.8688527187729,0,0,174,0
2020-05-08,27.5977699034679,31.8688527187729,0,362,0,0
2020-05-11,29.33436472593938,31.8688527187729,0,0,170,0
2020-05-11,27.97324948648478,31.8688527187729,0,357,0,0
2020-05-12,30.97708658308215,31.8688527187729,0,0,0,81
2020-05-12,28.30179238373049,31.8688527187729,0,353,0,0
2020-05-13,32.4320746889498,0,0,0,0,0
2020-05-13,30.22613177391031,32.4320746889498,0,0,165,0
2020-05-14,34.96655353883497,0,0,0,0,0
2020-05-14,31.2117558433896,34.96655353883497,0,320,0,0
2020-05-15,35.67058925005006,0,0,0,0,0
2020-05-15,34.35640821375875,35.67058925005006,0,0,0,73
2020-05-18,36.60928279331752,0,0,0,0,0
2020-05-18,32.4790033022424,36.60928279331752,0,308,0,0
2020-05-19,34.16866694826017,36.60928279331752,0,0,146,0
2020-05-19,31.49337093380314,36.60928279331752,0,318,0,0
2020-05-20,32.76062049158475,36.60928279331752,0,305,0,0
2020-05-20,31.9627236095371,36.60928279331752,0,313,0,0
2020-05-21,33.51158099918767,36.60928279331752,0,0,149,0
2020-05-21,32.47900915007735,36.60928279331752,0,308,0,0
2020-05-22,32.94835460086497,36.60928279331752,0,0,152,0
2020-05-22,31.77498009825788,36.60928279331752,0,315,0,0
2020-05-26,34.35640334792993,36.60928279331752,0,0,146,0
2020-05-26,31.86885159841762,36.60928279331752,0,314,0,0
2020-05-27,34.45027635711939,36.60928279331752,0,0,145,0
2020-05-27,33.0891612082679,36.60928279331752,0,0,151,0
2020-05-28,38.48668938155361,0,0,0,0,0
2020-05-28,33.79319067648609,38.48668938155361,0,296,0,0
2020-05-29,38.29893584780575,38.48668938155361,0,0,0,0
2020-05-29,36.23379639534207,38.48668938155361,0,0,138,0
2020-06-01,38.15814072790717,38.48668938155361,0,0,0,0
2020-06-01,35.67058531934757,38.48668938155361,0,0,140,0
2020-06-02,36.9378238672061,38.48668938155361,0,0,0,68
2020-06-02,35.90525585025936,38.48668938155361,0,0,139,0
2020-06-03,37.40717782777314,38.48668938155361,0,0,0,67
2020-06-03,35.43591008956948,38.48668938155361,0,0,141,0
2020-06-04,37.36024208152021,38.48668938155361,0,0,0,67
2020-06-04,36.28073972708464,38.48668938155361,0,0,138,0
2020-06-05,40.45794840573519,0,0,0,0,0
2020-06-05,36.28073835210228,40.45794840573519,0,276,0,0
2020-06-08,39.84779954574217,40.45794840573519,0,0,0,0
2020-06-08,37.54798476284682,40.45794840573519,0,0,133,0
2020-06-09,38.62749416603289,40.45794840573519,0,0,0,65
2020-06-09,33.79318926884251,40.45794840573519,592,0,0,0
2020-06-10,35.99913027527758,40.45794840573519,0,278,0,0
2020-06-10,34.7318871755391,40.45794840573519,0,288,0,0
2020-06-11,35.67058235868947,40.45794840573519,0,280,0,0
2020-06-11,33.7931832871795,40.45794840573519,592,0,0,0
2020-06-12,35.57671829593475,40.45794840573519,0,281,0,0
2020-06-12,32.8544878687532,40.45794840573519,609,0,0,0
2020-06-15,35.90526174228029,40.45794840573519,0,279,0,0
2020-06-15,34.12173096849168,40.45794840573519,586,0,0,0
2020-06-16,36.56234327557007,40.45794840573519,0,0,137,0
2020-06-16,33.79317925900829,40.45794840573519,592,0,0,0
2020-06-17,38.43975316012673,40.45794840573519,0,0,0,65
2020-06-17,34.26253880840984,40.45794840573519,584,0,0,0
2020-06-18,38.39281704492453,40.45794840573519,0,0,130,0
2020-06-18,36.79702692676355,40.45794840573519,0,0,136,0
2020-06-19,39.33151239738623,40.45794840573519,0,0,0,64
2020-06-19,36.70315080472824,40.45794840573519,0,0,136,0
2020-06-22,38.4866907744056,40.45794840573519,0,0,0,65
2020-06-22,36.2338098820982,40.45794840573519,0,276,0,0
2020-06-23,38.4866897246015,40.45794840573519,0,0,0,65
2020-06-23,37.36024930917379,40.45794840573519,0,0,134,0
2020-06-24,38.29893855158272,40.45794840573519,0,0,131,0
2020-06-24,36.13993043648317,40.45794840573519,0,277,0,0
2020-06-25,37.50104756709034,40.45794840573519,0,0,133,0
2020-06-25,35.81138910099205,40.45794840573519,0,279,0,0
2020-06-26,39.89474043688384,40.45794840573519,0,0,0,0
2020-06-26,36.84396616818096,40.45794840573519,0,0,136,0
2020-06-29,38.25201073175744,40.45794840573519,0,0,131,0
2020-06-29,36.65622061082601,40.45794840573519,0,0,136,0
2020-06-30,38.95603332241812,40.45794840573519,0,0,0,64
2020-06-30,36.98476559868587,40.45794840573519,0,0,135,0
2020-07-01,37.12557394974696,40.45794840573519,0,0,135,0
2020-07-01,34.6849560614472,40.45794840573519,0,288,0,0
2020-07-02,37.31330840443477,40.45794840573519,0,0,134,0
2020-07-02,35.67058413505714,40.45794840573519,0,280,0,0
2020-07-03,36.98476017592703,40.45794840573519,0,0,135,0
2020-07-03,35.7175137557434,40.45794840573519,0,280,0,0
2020-07-06,37.36024088460404,40.45794840573519,0,0,134,0
2020-07-06,35.48284180918821,40.45794840573519,0,282,0,0
2020-07-07,37.07863204458575,40.45794840573519,0,0,135,0
2020-07-07,35.85832335169435,40.45794840573519,0,279,0,0
2020-07-08,36.84396232167423,40.45794840573519,0,0,136,0
2020-07-08,35.2951064223064,40.45794840573519,0,283,0,0
2020-07-09,38.48668384621544,40.45794840573519,0,0,0,65
2020-07-09,35.34204159843977,40.45794840573519,0,283,0,0
2020-07-10,37.36024508652715,40.45794840573519,0,0,134,0
2020-07-10,35.52978006595261,40.45794840573519,0,281,0,0
2020-07-13,37.0786335088094,40.45794840573519,0,0,135,0
2020-07-13,35.38897497647764,40.45794840573519,0,283,0,0
2020-07-14,37.07863049393374,40.45794840573519,0,0,135,0
2020-07-14,35.76444975294621,40.45794840573519,0,280,0,0
2020-07-15,36.75009985758879,40.45794840573519,0,0,136,0
2020-07-15,35.29511225320738,40.45794840573519,0,283,0,0
2020-07-16,36.84395353629375,40.45794840573519,0,0,136,0
