Date,Price,Max Price,15% drop,10% drop,5% drop,2% drop
2020-04-17,16.31619453430176,0,0,0,0,0
2020-04-17,16.31619453430176,16.31619453430176,0,0,0,0
2020-04-20,17.10251426696777,0,0,0,0,0
2020-04-20,15.5298698048455,17.10251426696777,0,0,322,0
2020-04-21,17.88883823442096,0,0,0,0,0
2020-04-21,16.2670465231206,17.88883823442096,0,0,307,0
2020-04-22,17.00422641417396,17.88883823442096,0,0,0,147
2020-04-22,15.82474357387974,17.88883823442096,0,632,0,0
2020-04-23,16.95507948395948,17.88883823442096,0,0,295,0
2020-04-23,15.82474122664331,17.88883823442096,0,632,0,0
2020-04-24,16.61106298180606,17.88883823442096,0,0,301,0
2020-04-24,15.9230318966064,17.88883823442096,0,628,0,0
2020-04-27,16.61106449722851,17.88883823442096,0,0,301,0
2020-04-27,15.72645194998944,17.88883823442096,0,636,0,0
2020-04-28,15.77559549636961,17.88883823442096,0,634,0,0
2020-04-28,15.28414483728228,17.88883823442096,0,654,0,0
2020-04-29,15.97217760544118,17.88883823442096,0,626,0,0
2020-04-29,15.23500017749774,17.88883823442096,0,656,0,0
2020-04-30,15.97217724628476,17.88883823442096,0,626,0,0
2020-04-30,15.33329053138119,17.88883823442096,0,652,0,0
2020-05-04,15.23499938438898,17.88883823442096,0,656,0,0
2020-05-04,14.79269313812256,17.88883823442096,1352,0,0,0
2020-05-05,14.74354830997243,17.88883823442096,1357,0,0,0
2020-05-05,14.05551624298096,17.88883823442096,1423,0,0,0
2020-05-06,14.30124268590297,17.88883823442096,1398,0,0,0
2020-05-06,13.36748477210489,17.88883823442096,1496,0,0,0
2020-05-07,14.104660987854,17.88883823442096,1418,0,0,0
2020-05-07,13.3674836039042,17.88883823442096,1496,0,0,0
2020-05-08,14.79269269513894,17.88883823442096,1352,0,0,0
2020-05-08,14.25209577150452,17.88883823442096,1403,0,0,0
2020-05-11,15.08756355906161,17.88883823442096,1326,0,0,0
