Date,Price,Max Price,15% drop,10% drop,5% drop,2% drop
2020-04-17,29.10927275872853,0,0,0,0,0
2020-04-17,27.97833856491724,29.10927275872853,0,0,0,89
2020-04-20,29.74849943328676,0,0,0,0,0
2020-04-20,28.56839292035294,29.74849943328676,0,0,0,88
2020-04-21,28.22419201774716,29.74849943328676,0,0,177,0
2020-04-21,27.04408570923508,29.74849943328676,0,0,185,0
2020-04-22,28.42087515201433,29.74849943328676,0,0,0,88
2020-04-22,27.24077071922952,29.74849943328676,0,0,184,0
2020-04-23,28.96175958065605,29.74849943328676,0,0,0,86
2020-04-23,28.27336388363316,29.74849943328676,0,0,0,88
2020-04-24,28.37170483737935,29.74849943328676,0,0,0,88
2020-04-24,27.5357963584939,29.74849943328676,0,0,182,0
2020-04-27,29.69932478593546,29.74849943328676,0,0,0,0
2020-04-27,28.02750778198242,29.74849943328676,0,0,178,0
2020-04-28,30.28937840993641,0,0,0,0,0
2020-04-28,28.91258882325339,30.28937840993641,0,0,0,86
2020-04-29,31.07611426674703,0,0,0,0,0
2020-04-29,29.20761412309366,31.07611426674703,0,0,171,0
2020-04-30,31.8136791894577,0,0,0,0,0
2020-04-30,30.48606186680765,31.8136791894577,0,0,0,82
2020-05-04,30.09269537542614,31.8136791894577,0,0,166,0
2020-05-04,25.1755883492365,31.8136791894577,794,0,0,0
2020-05-05,29.25678601698399,31.8136791894577,0,0,171,0
2020-05-05,27.9291667805636,31.8136791894577,0,358,0,0
2020-05-06,28.86341782717451,31.8136791894577,0,0,173,0
2020-05-06,27.87999644891117,31.8136791894577,0,359,0,0
2020-05-07,28.66673205628003,31.8136791894577,0,0,174,0
2020-05-07,26.35569150227177,31.8136791894577,759,0,0,0
2020-05-08,29.01093108193916,31.8136791894577,0,0,172,0
2020-05-08,27.58496931236643,31.8136791894577,0,363,0,0
2020-05-11,28.76507573378714,31.8136791894577,0,0,174,0
2020-05-11,27.97833936999163,31.8136791894577,0,357,0,0
2020-05-12,28.2733642631602,31.8136791894577,0,354,0,0
2020-05-12,27.53579823890385,31.8136791894577,0,363,0,0
2020-05-13,29.89600910999119,31.8136791894577,0,0,167,0
2020-05-13,28.27336423347629,31.8136791894577,0,354,0,0
2020-05-14,28.71590460773148,31.8136791894577,0,0,174,0
2020-05-14,28.17502173155558,31.8136791894577,0,355,0,0
2020-05-15,29.35512694680074,31.8136791894577,0,0,170,0
2020-05-15,27.83082276655477,31.8136791894577,0,359,0,0
2020-05-18,28.6667353492074,31.8136791894577,0,0,174,0
2020-05-18,26.40486672845172,31.8136791894577,757,0,0,0
2020-05-19,27.781653654789,31.8136791894577,0,360,0,0
2020-05-19,25.86398123629136,31.8136791894577,773,0,0,0
2020-05-20,26.6507194563767,31.8136791894577,750,0,0,0
2020-05-20,25.91315343014336,31.8136791894577,772,0,0,0
2020-05-21,27.04408761762043,31.8136791894577,0,370,0,0
2020-05-21,26.10983656781167,31.8136791894577,766,0,0,0
2020-05-22,26.89657478757889,31.8136791894577,744,0,0,0
2020-05-22,25.76564058962388,31.8136791894577,776,0,0,0
2020-05-26,27.04408761762043,31.8136791894577,0,370,0,0
2020-05-26,26.25735127358061,31.8136791894577,762,0,0,0
2020-05-27,26.84740533400137,31.8136791894577,745,0,0,0
2020-05-27,26.06066890966112,31.8136791894577,767,0,0,0
2020-05-28,26.99491654049148,31.8136791894577,741,0,0,0
2020-05-28,25.86398049860794,31.8136791894577,773,0,0,0
2020-05-29,26.74906273036187,31.8136791894577,748,0,0,0
2020-05-29,25.96232448786449,31.8136791894577,770,0,0,0
2020-06-01,30.78108870098296,31.8136791894577,0,0,0,81
