Date,Price,Max Price,15% drop,10% drop,5% drop,2% drop
2020-04-17,400.7985837220813,0,0,0,0,0
2020-04-17,369.9829079863654,400.7985837220813,0,0,14,0
2020-04-20,393.3502389928414,400.7985837220813,0,0,0,0
2020-04-20,371.2973169325232,400.7985837220813,0,0,13,0
2020-04-21,379.2324785927444,400.7985837220813,0,0,13,0
2020-04-21,362.7292818239389,400.7985837220813,0,0,14,0
2020-04-22,375.532617528426,400.7985837220813,0,0,13,0
2020-04-22,355.6216857951065,400.7985837220813,0,28,0,0
2020-04-23,374.6563080624405,400.7985837220813,0,0,13,0
2020-04-23,360.246461488157,400.7985837220813,0,28,0,0
2020-04-24,380.6442502933916,400.7985837220813,0,0,13,0
2020-04-24,350.510105708999,400.7985837220813,0,29,0,0
2020-04-27,369.9829217425847,400.7985837220813,0,0,14,0
2020-04-27,356.5467117329674,400.7985837220813,0,28,0,0
2020-04-28,364.3358051839282,400.7985837220813,0,0,14,0
2020-04-28,352.5547647706645,400.7985837220813,0,28,0,0
2020-04-29,378.9404020269068,400.7985837220813,0,0,13,0
2020-04-29,355.5730603943274,400.7985837220813,0,28,0,0
2020-04-30,387.751789227649,400.7985837220813,0,0,0,6
2020-04-30,370.2262846297892,400.7985837220813,0,0,14,0
2020-05-04,373.7314147211983,400.7985837220813,0,0,13,0
2020-05-04,350.6561536812003,400.7985837220813,0,29,0,0
2020-05-05,369.0092702609224,400.7985837220813,0,0,14,0
2020-05-05,357.325599434719,400.7985837220813,0,28,0,0
2020-05-06,366.4291176066787,400.7985837220813,0,0,14,0
2020-05-06,355.3783067819336,400.7985837220813,0,28,0,0
2020-05-07,369.0092253271553,400.7985837220813,0,0,14,0
2020-05-07,356.4979567316209,400.7985837220813,0,28,0,0
2020-05-08,368.9605914430643,400.7985837220813,0,0,14,0
2020-05-08,358.2992301814957,400.7985837220813,0,28,0,0
2020-05-11,363.1674148162032,400.7985837220813,0,0,14,0
2020-05-11,351.7271544299019,400.7985837220813,0,28,0,0
2020-05-12,360.197842258384,400.7985837220813,0,28,0,0
2020-05-12,348.5628416639653,400.7985837220813,0,29,0,0
2020-05-13,365.1147026436052,400.7985837220813,0,0,14,0
2020-05-13,353.4310321590098,400.7985837220813,0,28,0,0
2020-05-14,362.6319594067433,400.7985837220813,0,0,14,0
2020-05-14,351.5324479150958,400.7985837220813,0,28,0,0
2020-05-15,364.8713084029667,400.7985837220813,0,0,14,0
2020-05-15,352.5060780608369,400.7985837220813,0,28,0,0
2020-05-18,364.1410513595836,400.7985837220813,0,0,14,0
2020-05-18,340.7737111653857,400.7985837220813,0,29,0,0
2020-05-19,354.4046550570724,400.7985837220813,0,28,0,0
2020-05-19,342.9643949006971,400.7985837220813,0,29,0,0
2020-05-20,350.510096888182,400.7985837220813,0,29,0,0
2020-05-20,345.7392709564924,400.7985837220813,0,29,0,0
2020-05-21,352.8955221431522,400.7985837220813,0,28,0,0
2020-05-21,340.7737028287157,400.7985837220813,0,29,0,0
2020-05-22,350.9482556145506,400.7985837220813,0,28,0,0
2020-05-22,345.6905802526124,400.7985837220813,0,29,0,0
2020-05-26,363.5568545901433,400.7985837220813,0,0,14,0
2020-05-26,335.9055085265237,400.7985837220813,60,0,0,0
2020-05-27,358.2505254127675,400.7985837220813,0,28,0,0
2020-05-27,341.7960005453518,400.7985837220813,0,29,0,0
2020-05-28,360.1978628415397,400.7985837220813,0,28,0,0
2020-05-28,346.6642531045879,400.7985837220813,0,29,0,0
2020-05-29,369.7881670923313,400.7985837220813,0,0,14,0
2020-05-29,355.3783183960377,400.7985837220813,0,28,0,0
2020-06-01,378.7943037487248,400.7985837220813,0,0,13,0
2020-06-01,357.8123917118195,400.7985837220813,0,28,0,0
2020-06-02,389.2609383023934,400.7985837220813,0,0,0,6
2020-06-02,369.9828941253182,400.7985837220813,0,0,14,0
2020-06-03,398.6566004311151,400.7985837220813,0,0,0,0
2020-06-03,379.7193052457919,400.7985837220813,0,0,13,0
2020-06-04,385.8531758932212,400.7985837220813,0,0,0,6
2020-06-04,370.1776096479791,400.7985837220813,0,0,14,0
2020-06-05,428.1578111184664,0,0,0,0,0
2020-06-05,379.5732240541262,428.1578111184664,0,26,0,0
2020-06-08,436.9206236724643,0,0,0,0,0
2020-06-08,417.2530984765033,436.9206236724643,0,0,0,6
2020-06-09,431.7603261932995,436.9206236724643,0,0,0,0
2020-06-09,414.0887504898053,436.9206236724643,0,0,12,0
2020-06-10,424.3119720311516,436.9206236724643,0,0,0,6
2020-06-10,404.7905170106512,436.9206236724643,0,0,12,0
2020-06-11,417.5938662922457,436.9206236724643,0,0,0,6
2020-06-11,394.3238942763384,436.9206236724643,0,0,13,0
2020-06-12,413.7479847979424,436.9206236724643,0,0,12,0
2020-06-12,379.0377239775951,436.9206236724643,0,26,0,0
2020-06-15,408.3929513783037,436.9206236724643,0,0,12,0
2020-06-15,389.6990679034387,436.9206236724643,0,26,0,0
2020-06-16,412.8230304700226,436.9206236724643,0,0,12,0
2020-06-16,395.5896043411004,436.9206236724643,0,0,13,0
2020-06-17,406.9325054616502,436.9206236724643,0,0,12,0
2020-06-17,394.5672760422028,436.9206236724643,0,0,13,0
2020-06-18,436.1416694674817,436.9206236724643,0,0,0,0
2020-06-18,395.9303547132933,436.9206236724643,0,0,13,0
2020-06-19,443.0058304228022,0,0,0,0,0
2020-06-19,413.7966547905295,443.0058304228022,0,0,12,0
2020-06-22,431.322145469818,443.0058304228022,0,0,0,6
2020-06-22,406.9811666058328,443.0058304228022,0,0,12,0
2020-06-23,421.3423582588251,443.0058304228022,0,0,0,6
2020-06-23,409.415278215681,443.0058304228022,0,0,12,0
2020-06-24,431.0787406202152,443.0058304228022,0,0,0,6
2020-06-24,407.0785411279679,443.0058304228022,0,0,12,0
2020-06-25,413.5532730275106,443.0058304228022,0,0,12,0
2020-06-25,403.3787309406472,443.0058304228022,0,0,12,0
2020-06-26,420.6121123032685,443.0058304228022,0,0,12,0
2020-06-26,407.3706139362845,443.0058304228022,0,0,12,0
2020-06-29,491.1036191774114,0,0,0,0,0
2020-06-29,411.0704927053836,491.1036191774114,49,0,0,0
2020-06-30,478.8844654559244,491.1036191774114,0,0,0,5
2020-06-30,442.5190339509928,491.1036191774114,0,0,11,0
2020-07-01,463.939081144797,491.1036191774114,0,0,11,0
2020-07-01,449.8213126734443,491.1036191774114,0,0,11,0
2020-07-02,472.2149979695125,491.1036191774114,0,0,0,5
2020-07-02,451.2817557914826,491.1036191774114,0,0,11,0
2020-07-03,467.2494341866193,491.1036191774114,0,0,0,5
2020-07-03,450.0160386152611,491.1036191774114,0,0,11,0
2020-07-06,467.8823010040347,491.1036191774114,0,0,0,5
2020-07-06,450.9409850357766,491.1036191774114,0,0,11,0
2020-07-07,455.6631154899639,491.1036191774114,0,0,11,0
2020-07-07,440.3282991032824,491.1036191774114,0,23,0,0
2020-07-08,488.6695233588142,491.1036191774114,0,0,0,0
2020-07-08,446.3649166635739,491.1036191774114,0,0,11,0
2020-07-09,484.8722858723272,491.1036191774114,0,0,0,0
2020-07-09,460.0931581729258,491.1036191774114,0,0,11,0
2020-07-10,471.825564014857,491.1036191774114,0,0,0,5
2020-07-10,459.0708845048675,491.1036191774114,0,0,11,0
2020-07-13,470.9492798681283,491.1036191774114,0,0,0,5
2020-07-13,461.0181484182257,491.1036191774114,0,0,11,0
2020-07-14,462.6246195702064,491.1036191774114,0,0,11,0
2020-07-14,440.0848799995754,491.1036191774114,0,23,0,0
2020-07-15,457.902537180685,491.1036191774114,0,0,11,0
2020-07-15,433.5615554102231,491.1036191774114,0,23,0,0
2020-07-16,449.7239156051685,491.1036191774114,0,0,11,0
2020-07-16,427.6223248183231,491.1036191774114,0,23,0,0
2020-07-17,453.715866930472,491.1036191774114,0,0,11,0
2020-07-17,434.340452804604,491.1036191774114,0,23,0,0
2020-07-20,441.9835250228325,491.1036191774114,0,23,0,0
2020-07-20,429.6669654197845,491.1036191774114,0,23,0,0
2020-07-21,447.8740105967562,491.1036191774114,0,0,11,0
