Date,Price,Max Price,15% drop,10% drop,5% drop,2% drop
2020-04-17,30.79143989232001,0,0,0,0,0
2020-04-17,28.0490769098477,30.79143989232001,0,0,178,0
2020-04-20,31.2725580758197,0,0,0,0,0
2020-04-20,29.34809296346156,31.2725580758197,0,0,170,0
2020-04-21,30.83955120794712,31.2725580758197,0,0,0,0
2020-04-21,29.29998066036853,31.2725580758197,0,0,171,0
2020-04-22,30.40654327757817,31.2725580758197,0,0,0,82
2020-04-22,28.48207853640629,31.2725580758197,0,0,176,0
2020-04-23,31.22444583384313,31.2725580758197,0,0,0,0
2020-04-23,29.39620258779733,31.2725580758197,0,0,170,0
2020-04-24,30.79143704256649,31.2725580758197,0,0,0,0
2020-04-24,29.68487014091179,31.2725580758197,0,0,168,0
2020-04-27,30.550880816675,31.2725580758197,0,0,0,82
2020-04-27,29.58864835000807,31.2725580758197,0,0,169,0
2020-04-28,33.48568573989118,0,0,0,0,0
2020-04-28,29.87731435260495,33.48568573989118,0,335,0,0
2020-04-29,37.91195897765347,0,0,0,0,0
2020-04-29,32.86023875114668,37.91195897765347,0,304,0,0
2020-04-30,36.56483146525103,37.91195897765347,0,0,0,68
2020-04-30,32.81212360977776,37.91195897765347,0,305,0,0
2020-05-04,33.67813439677946,37.91195897765347,0,297,0,0
2020-05-04,30.79143716276979,37.91195897765347,650,0,0,0
2020-05-05,35.50637558147989,37.91195897765347,0,0,141,0
2020-05-05,33.6300217438102,37.91195897765347,0,297,0,0
2020-05-06,34.92903694741209,37.91195897765347,0,0,143,0
2020-05-06,32.86023939729963,37.91195897765347,0,304,0,0
2020-05-07,36.46861466495839,37.91195897765347,0,0,0,69
2020-05-07,33.67813883601008,37.91195897765347,0,297,0,0
2020-05-08,38.15251529841795,0,0,0,0,0
2020-05-08,35.55448714080102,38.15251529841795,0,0,141,0
2020-05-11,38.39307601954947,0,0,0,0,0
2020-05-11,35.60260046110459,38.39307601954947,0,0,140,0
2020-05-12,37.52706873937457,38.39307601954947,0,0,0,67
2020-05-12,35.69882546074446,38.39307601954947,0,0,140,0
2020-05-13,37.81573704964194,38.39307601954947,0,0,0,0
2020-05-13,36.08371925931974,38.39307601954947,0,0,139,0
2020-05-14,37.81573027265495,38.39307601954947,0,0,0,0
2020-05-14,35.21770221745344,38.39307601954947,0,0,142,0
2020-05-15,38.00818194159329,38.39307601954947,0,0,0,0
2020-05-15,35.36204269249502,38.39307601954947,0,0,141,0
2020-05-18,40.41376252643232,0,0,0,0,0
2020-05-18,37.04594898256296,40.41376252643232,0,0,135,0
2020-05-19,42.53067768928756,0,0,0,0,0
2020-05-19,36.08371913616721,42.53067768928756,554,0,0,0
2020-05-20,40.89487973404632,42.53067768928756,0,0,0,61
2020-05-20,36.17993919057664,42.53067768928756,0,276,0,0
2020-05-21,41.03921189176396,42.53067768928756,0,0,0,61
2020-05-21,38.48929465276801,42.53067768928756,0,0,130,0
2020-05-22,40.89487688885697,42.53067768928756,0,0,0,61
2020-05-22,38.97041209408723,42.53067768928756,0,0,128,0
2020-05-26,40.84676654464526,42.53067768928756,0,0,0,61
2020-05-26,37.71951121168436,42.53067768928756,0,265,0,0
2020-05-27,39.93264712301001,42.53067768928756,0,0,125,0
2020-05-27,38.00818220141916,42.53067768928756,0,263,0,0
2020-05-28,40.84677161169579,42.53067768928756,0,0,0,61
2020-05-28,37.71951589079815,42.53067768928756,0,265,0,0
2020-05-29,40.22131523360893,42.53067768928756,0,0,124,0
2020-05-29,38.48929757677897,42.53067768928756,0,0,130,0
2020-06-01,41.18354533323415,42.53067768928756,0,0,0,61
2020-06-01,38.53740627516785,42.53067768928756,0,0,130,0
2020-06-02,40.65431855770927,42.53067768928756,0,0,0,61
2020-06-02,38.82607554485212,42.53067768928756,0,0,129,0
2020-06-03,41.27977478719288,42.53067768928756,0,0,0,61
2020-06-03,39.83642606974733,42.53067768928756,0,0,126,0
2020-06-04,46.18715749160255,0,0,0,0,0
2020-06-04,39.01852502180164,46.18715749160255,513,0,0,0
2020-06-05,53.74068069458008,0,0,0,0,0
2020-06-05,45.75415211892019,53.74068069458008,0,219,0,0
2020-06-08,62.16021761688638,0,0,0,0,0
2020-06-08,56.86793890220757,62.16021761688638,0,0,88,0
2020-06-09,59.65841203461631,62.16021761688638,0,0,0,42
2020-06-09,53.21145387094397,62.16021761688638,0,188,0,0
2020-06-10,55.71326224059953,62.16021761688638,0,179,0,0
2020-06-10,48.49651861723823,62.16021761688638,412,0,0,0
2020-06-11,54.8472501757887,62.16021761688638,0,182,0,0
2020-06-11,50.03608787966689,62.16021761688638,400,0,0,0
2020-06-12,52.34544651460053,62.16021761688638,382,0,0,0
2020-06-12,47.0531680632232,62.16021761688638,425,0,0,0
2020-06-15,52.92278589581215,62.16021761688638,0,189,0,0
2020-06-15,48.83329789477212,62.16021761688638,410,0,0,0
2020-06-16,55.71325622517059,62.16021761688638,0,179,0,0
