Date,Price,Max Price,15% drop,10% drop,5% drop,2% drop
2020-04-17,460.4701136579803,0,0,0,0,0
2020-04-17,423.0569169232694,460.4701136579803,0,0,12,0
2020-04-20,453.4671880466805,460.4701136579803,0,0,0,0
2020-04-20,425.9348980184589,460.4701136579803,0,0,12,0
2020-04-21,427.853495858085,460.4701136579803,0,0,12,0
2020-04-21,404.3023790408317,460.4701136579803,0,25,0,0
2020-04-22,421.1382982476037,460.4701136579803,0,0,12,0
2020-04-22,398.114792193065,460.4701136579803,0,25,0,0
2020-04-23,449.9176908124957,460.4701136579803,0,0,0,6
2020-04-23,407.7079287746496,460.4701136579803,0,25,0,0
2020-04-24,455.3857205368009,460.4701136579803,0,0,0,0
2020-04-24,414.5669502630986,460.4701136579803,0,0,12,0
2020-04-27,455.6735705419742,460.4701136579803,0,0,0,0
2020-04-27,423.0569360189697,460.4701136579803,0,0,12,0
2020-04-28,437.4945442314952,460.4701136579803,0,0,0,6
2020-04-28,422.0975871382882,460.4701136579803,0,0,12,0
2020-04-29,446.0804233981264,460.4701136579803,0,0,0,6
2020-04-29,417.3010412434085,460.4701136579803,0,0,12,0
2020-04-30,448.9584094502811,460.4701136579803,0,0,0,6
2020-04-30,425.5991359239156,460.4701136579803,0,0,12,0
2020-05-04,434.0889789527537,460.4701136579803,0,0,12,0
2020-05-04,417.3010073910449,460.4701136579803,0,0,12,0
2020-05-05,433.6093551697672,460.4701136579803,0,0,12,0
2020-05-05,413.4637877835612,460.4701136579803,0,24,0,0
2020-05-06,422.0976088217139,460.4701136579803,0,0,12,0
2020-05-06,386.9388024875402,460.4701136579803,52,0,0,0
2020-05-07,429.7721013180677,460.4701136579803,0,0,12,0
2020-05-07,398.1627352808538,460.4701136579803,0,25,0,0
2020-05-08,412.4565695132413,460.4701136579803,0,24,0,0
2020-05-08,400.2253307366703,460.4701136579803,0,25,0,0
2020-05-11,431.3549617952758,460.4701136579803,0,0,12,0
2020-05-11,404.8299707516789,460.4701136579803,0,25,0,0
2020-05-12,416.6775170283067,460.4701136579803,0,0,12,0
2020-05-12,400.0334342332073,460.4701136579803,0,25,0,0
2020-05-13,431.6907422263116,460.4701136579803,0,0,12,0
2020-05-13,404.8299849322299,460.4701136579803,0,25,0,0
2020-05-14,415.6702209840121,460.4701136579803,0,0,12,0
2020-05-14,399.2659956646613,460.4701136579803,0,25,0,0
2020-05-15,422.0976035706624,460.4701136579803,0,0,12,0
2020-05-15,403.391005230599,460.4701136579803,0,25,0,0
2020-05-18,441.1879154336839,460.4701136579803,0,0,0,6
2020-05-18,398.1627339537906,460.4701136579803,0,25,0,0
2020-05-19,422.049644392573,460.4701136579803,0,0,12,0
2020-05-19,403.8706565728185,460.4701136579803,0,25,0,0
2020-05-20,411.4972479203662,460.4701136579803,0,24,0,0
2020-05-20,399.074135128481,460.4701136579803,0,25,0,0
2020-05-21,417.2051137909934,460.4701136579803,0,0,12,0
2020-05-21,386.8908246964037,460.4701136579803,52,0,0,0
2020-05-22,408.6672249727471,460.4701136579803,0,24,0,0
2020-05-22,394.5173621362494,460.4701136579803,0,25,0,0
2020-05-26,404.8299749545926,460.4701136579803,0,25,0,0
2020-05-26,382.7657820068304,460.4701136579803,52,0,0,0
2020-05-27,400.8008416164676,460.4701136579803,0,25,0,0
2020-05-27,369.9589436074603,460.4701136579803,54,0,0,0
2020-05-28,383.7730710907949,460.4701136579803,52,0,0,0
2020-05-28,374.3238635014151,460.4701136579803,53,0,0,0
2020-05-29,398.1147929716481,460.4701136579803,0,25,0,0
2020-05-29,377.00991238038,460.4701136579803,53,0,0,0
2020-06-01,407.5640572654362,460.4701136579803,0,25,0,0
2020-06-01,388.9054112137083,460.4701136579803,51,0,0,0
2020-06-02,412.504482831398,460.4701136579803,0,24,0,0
2020-06-02,398.0668376426598,460.4701136579803,0,25,0,0
2020-06-03,413.463795695538,460.4701136579803,0,24,0,0
2020-06-03,403.0552464916416,460.4701136579803,0,25,0,0
2020-06-04,410.5858629836582,460.4701136579803,0,24,0,0
2020-06-04,400.9927353438532,460.4701136579803,0,25,0,0
2020-06-05,412.4565001783147,460.4701136579803,0,24,0,0
2020-06-05,403.6308117755366,460.4701136579803,0,25,0,0
2020-06-08,439.3652559527876,460.4701136579803,0,0,0,6
2020-06-08,406.1250737757322,460.4701136579803,0,25,0,0
2020-06-09,440.8521653324091,460.4701136579803,0,0,0,6
2020-06-09,413.7515799739971,460.4701136579803,0,24,0,0
2020-06-10,465.1707742842038,0,0,0,0,0
2020-06-10,419.2676506115977,465.1707742842038,0,0,12,0
2020-06-11,465.0747775591793,465.1707742842038,0,0,0,0
2020-06-11,422.0975810202088,465.1707742842038,0,0,12,0
2020-06-12,421.1383143433737,465.1707742842038,0,0,12,0
2020-06-12,410.5858736650659,465.1707742842038,0,24,0,0
2020-06-15,441.2838868952053,465.1707742842038,0,0,11,0
2020-06-15,420.1790053480433,465.1707742842038,0,0,12,0
2020-06-16,438.4059179377978,465.1707742842038,0,0,11,0
2020-06-16,405.0218466191968,465.1707742842038,0,25,0,0
2020-06-17,412.4085692739961,465.1707742842038,0,24,0,0
2020-06-17,403.0073154894379,465.1707742842038,0,25,0,0
2020-06-18,412.1207591178451,465.1707742842038,0,24,0,0
2020-06-18,394.6612555327627,465.1707742842038,51,0,0,0
2020-06-19,425.9348780486218,465.1707742842038,0,0,12,0
2020-06-19,401.0886826842994,465.1707742842038,0,25,0,0
2020-06-22,465.2666953375132,0,0,0,0,0
2020-06-22,404.9259277149008,465.2666953375132,0,25,0,0
2020-06-23,450.8769783484783,465.2666953375132,0,0,0,6
2020-06-23,418.2603458722054,465.2666953375132,0,24,0,0
2020-06-24,438.1181624718784,465.2666953375132,0,0,11,0
2020-06-24,422.5772835788227,465.2666953375132,0,0,12,0
2020-06-25,442.2431638694649,465.2666953375132,0,0,0,6
2020-06-25,413.4637822727535,465.2666953375132,0,24,0,0
2020-06-26,432.0265270562268,465.2666953375132,0,0,12,0
2020-06-26,418.3083363960363,465.2666953375132,0,24,0,0
2020-06-29,423.0569494591264,465.2666953375132,0,0,12,0
2020-06-29,412.5045085429124,465.2666953375132,0,24,0,0
2020-06-30,426.9421320882381,465.2666953375132,0,0,12,0
2020-06-30,410.1541587897873,465.2666953375132,0,24,0,0
2020-07-01,420.610687148775,465.2666953375132,0,0,12,0
2020-07-01,407.7079189447509,465.2666953375132,0,25,0,0
2020-07-02,431.6907133747588,465.2666953375132,0,0,12,0
2020-07-02,412.5044594469917,465.2666953375132,0,24,0,0
2020-07-03,426.8941873556678,465.2666953375132,0,0,12,0
2020-07-03,413.7036366227679,465.2666953375132,0,24,0,0
2020-07-06,456.9206477517325,465.2666953375132,0,0,0,0
2020-07-06,427.0380616643468,465.2666953375132,0,0,12,0
2020-07-07,441.2838605305706,465.2666953375132,0,0,11,0
2020-07-07,429.1485602211602,465.2666953375132,0,0,12,0
2020-07-08,442.2431890159471,465.2666953375132,0,0,0,6
2020-07-08,423.6325270470292,465.2666953375132,0,0,12,0
2020-07-09,434.7605498581619,465.2666953375132,0,0,12,0
2020-07-09,422.0976098522342,465.2666953375132,0,0,12,0
2020-07-10,431.0671710744147,465.2666953375132,0,0,12,0
2020-07-10,419.2196532787483,465.2666953375132,0,0,12,0
2020-07-13,428.8127912190398,465.2666953375132,0,0,12,0
2020-07-13,413.559724634885,465.2666953375132,0,24,0,0
2020-07-14,428.4290943764668,465.2666953375132,0,0,12,0
2020-07-14,407.7079324262128,465.2666953375132,0,25,0,0
2020-07-15,421.1383127921406,465.2666953375132,0,0,12,0
2020-07-15,406.796574939997,465.2666953375132,0,25,0,0
2020-07-16,421.4260666769731,465.2666953375132,0,0,12,0
2020-07-16,401.952030148629,465.2666953375132,0,25,0,0
2020-07-17,417.253082458624,465.2666953375132,0,24,0,0
2020-07-17,404.8299709294568,465.2666953375132,0,25,0,0
2020-07-20,418.2603565779937,465.2666953375132,0,24,0,0
2020-07-20,405.309634527987,465.2666953375132,0,25,0,0
2020-07-21,424.0162168174067,465.2666953375132,0,0,12,0
2020-07-21,407.9956828879273,465.2666953375132,0,25,0,0
2020-07-22,441.2839083724355,465.2666953375132,0,0,11,0
2020-07-22,403.966644584817,465.2666953375132,0,25,0,0
2020-07-23,425.6950409996095,465.2666953375132,0,0,12,0
2020-07-23,407.7079265911753,465.2666953375132,0,25,0,0
2020-07-24,420.1790088545695,465.2666953375132,0,0,12,0
2020-07-24,404.7820500349861,465.2666953375132,0,25,0,0
2020-07-27,414.3751857431322,465.2666953375132,0,24,0,0
2020-07-27,392.4548818751055,465.2666953375132,51,0,0,0
2020-07-28,407.7079395261496,465.2666953375132,0,25,0,0
2020-07-28,386.6030579506784,465.2666953375132,52,0,0,0
2020-07-29,404.8779192942387,465.2666953375132,0,25,0,0
2020-07-29,390.4882285820743,465.2666953375132,51,0,0,0
2020-07-30,404.782040418766,465.2666953375132,0,25,0,0
2020-07-30,388.521677039706,465.2666953375132,51,0,0,0
2020-07-31,407.468104016981,465.2666953375132,0,25,0,0
2020-07-31,389.2411611651325,465.2666953375132,51,0,0,0
2020-08-03,418.2603643071247,465.2666953375132,0,24,0,0
2020-08-03,402.9113601123678,465.2666953375132,0,25,0,0
2020-08-04,473.420828273211,0,0,0,0,0
2020-08-04,408.2835003092403,473.420828273211,0,24,0,0
2020-08-05,444.1618710002354,473.420828273211,0,0,11,0
2020-08-05,425.9349259699882,473.420828273211,0,23,0,0
2020-08-06,454.1866586077798,473.420828273211,0,0,0,6
2020-08-06,423.0569464183367,473.420828273211,0,24,0,0
2020-08-07,472.029845775432,473.420828273211,0,0,0,0
2020-08-07,431.6907547375407,473.420828273211,0,0,12,0
2020-08-10,528.3894253540566,0,0,0,0,0
2020-08-10,452.1720486298947,528.3894253540566,0,22,0,0
2020-08-11,570.7911196655167,0,0,0,0,0
2020-08-11,510.3544128774031,570.7911196655167,0,20,0,0
2020-08-12,534.2892033552017,570.7911196655167,0,0,9,0
